TrialIndex,TargetRule,Choice,Location,Reward,RuleChangeTrials,NewSessionTrials,CuePosition
1,Alternate,left,East,yes,1,1,NaN
2,Alternate,left,West,yes,0,0,NaN
3,Alternate,right,East,yes,0,0,NaN
4,Alternate,right,East,no,0,0,NaN
5,Alternate,right,West,yes,0,0,NaN
6,Alternate,left,East,yes,0,0,NaN
7,Alternate,left,West,yes,0,0,NaN
8,Alternate,right,East,yes,0,0,NaN
9,Alternate,left,East,no,0,0,NaN
10,Alternate,left,East,no,0,0,NaN
11,Alternate,right,West,yes,0,0,NaN
12,Alternate,right,East,yes,0,0,NaN
13,Alternate,right,West,yes,0,0,NaN
14,Alternate,right,East,yes,0,0,NaN
15,Alternate,left,East,no,0,0,NaN
16,Alternate,left,West,yes,0,0,NaN
17,Alternate,right,West,no,0,0,NaN
18,Alternate,right,West,no,0,0,NaN
19,Alternate,right,East,yes,0,0,NaN
20,Alternate,left,East,no,0,0,NaN
21,Alternate,left,West,yes,0,0,NaN
22,Alternate,left,East,yes,0,0,NaN
23,Alternate,left,West,yes,0,0,NaN
24,Alternate,left,West,no,0,0,NaN
25,Alternate,left,East,yes,0,0,NaN
26,Alternate,right,West,yes,0,0,NaN
27,Alternate,left,East,yes,0,0,NaN
28,Alternate,left,West,yes,0,0,NaN
29,Alternate,right,East,yes,0,0,NaN
30,Alternate,left,West,yes,0,0,NaN
31,Alternate,left,East,yes,0,0,NaN
32,Alternate,right,West,yes,0,0,NaN
33,West,right,East,no,1,0,NaN
34,West,right,West,yes,0,0,NaN
35,West,left,East,no,0,0,NaN
36,West,right,West,yes,0,0,NaN
37,West,right,West,yes,0,0,NaN
38,West,left,West,yes,0,0,NaN
39,West,left,East,no,0,0,NaN
40,West,right,East,no,0,0,NaN
41,West,left,West,yes,0,0,NaN
42,West,right,West,yes,0,0,NaN
43,West,left,West,yes,0,0,NaN
44,West,right,West,yes,0,0,NaN
45,West,left,East,no,0,0,NaN
46,West,left,West,yes,0,0,NaN
47,West,left,West,yes,0,0,NaN
48,West,right,West,yes,0,0,NaN
49,West,left,West,yes,0,0,NaN
50,West,right,East,no,0,0,NaN
51,West,left,West,yes,0,0,NaN
52,West,left,West,yes,0,0,NaN
53,West,right,West,yes,0,0,NaN
54,West,right,West,yes,0,0,NaN
55,East,left,West,no,1,0,NaN
56,East,left,East,yes,0,0,NaN
57,East,left,West,no,0,0,NaN
58,East,right,West,no,0,0,NaN
59,East,right,East,yes,0,0,NaN
60,East,right,West,no,0,0,NaN
61,East,right,West,no,0,0,NaN
62,East,right,East,yes,0,0,NaN
63,East,right,West,no,0,0,NaN
64,East,right,East,yes,0,0,NaN
65,East,right,West,no,0,0,NaN
66,East,left,East,yes,0,0,NaN
67,East,left,West,no,0,0,NaN
68,East,left,East,yes,0,0,NaN
69,East,right,West,no,0,0,NaN
70,East,left,East,yes,0,0,NaN
71,East,right,East,yes,0,0,NaN
72,East,left,West,no,0,0,NaN
73,East,right,East,yes,0,0,NaN
74,East,left,East,yes,0,0,NaN
75,East,left,East,yes,0,0,NaN
76,East,right,East,yes,0,0,NaN
77,East,left,East,yes,0,0,NaN
78,East,right,East,yes,0,0,NaN
79,East,right,East,yes,0,0,NaN
80,East,left,East,yes,0,0,NaN
81,Alternate,left,West,yes,1,0,NaN
82,Alternate,right,West,no,0,0,NaN
83,Alternate,right,East,yes,0,0,NaN
84,Alternate,left,East,no,0,0,NaN
85,Alternate,right,East,no,0,0,NaN
86,Alternate,left,West,yes,0,0,NaN
87,Alternate,right,East,yes,0,0,NaN
88,Alternate,right,West,yes,0,0,NaN
89,Alternate,left,East,yes,0,0,NaN
90,Alternate,right,West,yes,0,0,NaN
91,Alternate,right,East,yes,0,0,NaN
92,Alternate,left,West,yes,0,0,NaN
93,Alternate,left,East,yes,0,0,NaN
94,Alternate,right,East,no,0,0,NaN
95,Alternate,left,West,yes,0,0,NaN
96,Alternate,right,East,yes,0,0,NaN
97,Alternate,right,East,no,0,0,NaN
98,Alternate,left,West,yes,0,0,NaN
99,Alternate,left,East,yes,0,0,NaN
